Locality Name,Post Code,Municipality Name
Corinella,3984,Bass Coast Shire Council
Corio,3214,Greater Geelong City Council
Corndale,3311,Glenelg Shire Council
Cornella,3551,Campaspe Shire Council
Cornishtown,3683,Indigo Shire Council
Coronet Bay,3984,Bass Coast Shire Council
Corop,3559,Campaspe Shire Council
Cororooke,3254,Colac Otway Shire Council
Corringle,3888,East Gippsland Shire Council
Corryong,3707,Towong Shire Council
Corunnun,3249,Colac Otway Shire Council
Cosgrove,3631,Greater Shepparton City Council
Cosgrove South,3631,Greater Shepparton City Council
Costerfield,3523,Greater Bendigo City Council
Cotswold,3465,Central Goldfields Shire Council
Cottles Bridge,3099,Nillumbik Shire Council
Cowangie,3506,Mildura Rural City Council
Cowes,3922,Bass Coast Shire Council
Cowleys Creek,3268,Corangamite Shire Council
Cowwarr,3857,Latrobe City Council
Cowwarr,3857,Wellington Shire Council
Craigie,3465,Central Goldfields Shire Council
Craigieburn,3064,Hume City Council
Cranbourne,3977,Casey City Council
Cranbourne East,3977,Casey City Council
Cranbourne North,3977,Casey City Council
Cranbourne South,3977,Casey City Council
Cranbourne West,3977,Casey City Council
Creek Junction,3669,Strathbogie Shire Council
Creek View,3558,Campaspe Shire Council
Creightons Creek,3666,Strathbogie Shire Council
Cremorne,3121,Yarra City Council
Cressy,3322,Colac Otway Shire Council
Cressy,3322,Corangamite Shire Council
Cressy,3322,Golden Plains Shire Council
Creswick,3363,Ballarat City Council
Creswick,3363,Hepburn Shire Council
Creswick North,3363,Hepburn Shire Council
Crib Point,3919,Mornington Peninsula Shire Council
Crooked River,3862,Wellington Shire Council
Cross Roads,3373,Pyrenees Shire Council
Crossley,3283,Moyne Shire Council
Crossover,3821,Baw Baw Shire Council
Crowlands,3377,Ararat Rural City Council
Crowlands,3377,Northern Grampians Shire Council
Crowlands,3377,Pyrenees Shire Council
Croxton East,3301,Southern Grampians Shire Council
Croydon,3136,Maroondah City Council
Croydon Hills,3136,Maroondah City Council
Croydon North,3136,Maroondah City Council
Croydon South,3136,Maroondah City Council
Crymelon,3393,Hindmarsh Shire Council
Crymelon,3393,Yarriambiack Shire Council
Cudgee,3265,Moyne Shire Council
Cudgewa,3705,Towong Shire Council
Culgoa,3530,Buloke Shire Council
Culla,3315,Southern Grampians Shire Council
Cullen,3568,Gannawarra Shire Council
Cullulleraine,3496,Mildura Rural City Council
Cundare,3251,Colac Otway Shire Council
Cundare North,3251,Colac Otway Shire Council
Cundare North,3251,Corangamite Shire Council
Curdies River,3268,Corangamite Shire Council
Curdievale,3268,Corangamite Shire Council
Curdievale,3268,Moyne Shire Council
Curlewis,3222,Greater Geelong City Council
Curyo,3483,Buloke Shire Council
Dadswells Bridge,3385,Horsham Rural City Council
Dadswells Bridge,3385,Northern Grampians Shire Council
Daisy Hill,3465,Central Goldfields Shire Council
Dales Creek,3341,Moorabool Shire Council
Dallas,3047,Hume City Council
Dalmore,3981,Cardinia Shire Council
Daltons Bridge,3568,Gannawarra Shire Council
Dalyenong,3477,Northern Grampians Shire Council
Dalyston,3992,Bass Coast Shire Council
Dandenong,3175,Greater Dandenong City Council
Dandenong North,3175,Greater Dandenong City Council
Dandenong South,3175,Greater Dandenong City Council
Dandongadale,3737,Alpine Shire Council
Dargo,3862,Wellington Shire Council
Darley,3340,Moorabool Shire Council
Darlimurla,3871,Latrobe City Council
Darlimurla,3871,South Gippsland Shire Council
Darlington,3271,Corangamite Shire Council
Darlington,3271,Moyne Shire Council
Darnum,3822,Baw Baw Shire Council
Darraweit Guim,3756,Macedon Ranges Shire Council
Darriman,3851,Wellington Shire Council
Dartmoor,3304,Glenelg Shire Council
Dartmouth,3701,East Gippsland Shire Council
Dartmouth,3701,Towong Shire Council
Dawson,3858,Wellington Shire Council
Daylesford,3460,Hepburn Shire Council
Dean,3363,Hepburn Shire Council
Deans Marsh,3235,Surf Coast Shire Council
Deanside,3336,Melton City Council
Deddick Valley,3888,East Gippsland Shire Council
Dederang,3691,Alpine Shire Council
Deep Lead,3385,Northern Grampians Shire Council
Deepdene,3103,Boroondara City Council
Deer Park,3023,Brimbank City Council
Delacombe,3356,Ballarat City Council
Delahey,3037,Brimbank City Council
Delatite,3723,Mansfield Shire Council
Delburn,3871,Baw Baw Shire Council
Delburn,3871,Latrobe City Council
Delburn,3871,South Gippsland Shire Council
Delegate River,3888,East Gippsland Shire Council
Denicull Creek,3377,Ararat Rural City Council
Denison,3858,Wellington Shire Council
Dennington,3280,Moyne Shire Council
Dennington,3280,Warrnambool City Council
Denver,3461,Hepburn Shire Council
Derby,3516,Loddon Shire Council
Dereel,3352,Golden Plains Shire Council
Dergholm,3312,Glenelg Shire Council
Dergholm,3312,West Wimmera Shire Council
Derrimut,3026,Brimbank City Council
Derrinal,3523,Greater Bendigo City Council
Derrinallum,3325,Corangamite Shire Council
Devenish,3726,Benalla Rural City Council
Devils River,3714,Murrindindi Shire Council
Devon Meadows,3977,Casey City Council
Devon North,3971,Wellington Shire Council
Dewhurst,3808,Cardinia Shire Council
Dhurringile,3610,Greater Shepparton City Council
Diamond Creek,3089,Nillumbik Shire Council
Digby,3309,Glenelg Shire Council
Diggers Rest,3427,Hume City Council
Diggers Rest,3427,Melton City Council
Diggora,3561,Campaspe Shire Council
Dimboola,3414,Hindmarsh Shire Council
Dimboola,3414,Yarriambiack Shire Council
Dingee,3571,Loddon Shire Council
Dingley Village,3172,Kingston City Council
Dingwall,3579,Gannawarra Shire Council
Dinner Plain,3898,Alpine Shire Council
Dixie,3265,Corangamite Shire Council
Dixons Creek,3775,Yarra Ranges Shire Council
Dobie,3377,Ararat Rural City Council
Docker,3678,Wangaratta Rural City Council
Dockers Plains,3678,Wangaratta Rural City Council
Docklands,3008,Melbourne City Council
Doctors Flat,3895,East Gippsland Shire Council
Dollar,3871,South Gippsland Shire Council
Don Valley,3139,Yarra Ranges Shire Council
Donald,3480,Buloke Shire Council
Doncaster,3108,Manningham City Council
Doncaster East,3109,Manningham City Council
Donnybrook,3064,Whittlesea City Council
Donvale,3111,Manningham City Council
Dooboobetic,3478,Buloke Shire Council
Dooen,3401,Horsham Rural City Council
Dookie,3646,Greater Shepparton City Council
Dookie College,3647,Greater Shepparton City Council
Doreen,3754,Nillumbik Shire Council
Doreen,3754,Whittlesea City Council
Dorodong,3312,West Wimmera Shire Council
Double Bridges,3893,East Gippsland Shire Council
Douglas,3409,Horsham Rural City Council
Douglas,3409,West Wimmera Shire Council
Doveton,3177,Casey City Council
Dreeite,3249,Colac Otway Shire Council
Dreeite South,3249,Colac Otway Shire Council
Driffield,3840,Latrobe City Council
Drik Drik,3304,Glenelg Shire Council
Dromana,3936,Mornington Peninsula Shire Council
Dropmore,3660,Murrindindi Shire Council
Drouin,3818,Baw Baw Shire Council
Drouin East,3818,Baw Baw Shire Council
Drouin South,3818,Baw Baw Shire Council
Drouin West,3818,Baw Baw Shire Council
Drumanure,3636,Moira Shire Council
Drumborg,3304,Glenelg Shire Council
Drumcondra,3215,Greater Geelong City Council
Drummartin,3570,Greater Bendigo City Council
Drummond,3461,Hepburn Shire Council
Drummond,3461,Macedon Ranges Shire Council
Drummond North,3446,Hepburn Shire Council
Drummond North,3446,Macedon Ranges Shire Council
Drummond North,3446,Mount Alexander Shire Council
Drung,3401,Horsham Rural City Council
Dry Diggings,3461,Hepburn Shire Council
Drysdale,3222,Greater Geelong City Council
Duchembegarra,3409,Horsham Rural City Council
Dumbalk,3956,South Gippsland Shire Council
Dumbalk North,3956,South Gippsland Shire Council
Dumosa,3527,Buloke Shire Council
Dunach,3371,Central Goldfields Shire Council
Dunach,3371,Hepburn Shire Council
Dundonnell,3271,Moyne Shire Council
Dunkeld,3294,Ararat Rural City Council
Dunkeld,3294,Southern Grampians Shire Council
Dunluce,3472,Central Goldfields Shire Council
Dunneworthy,3377,Ararat Rural City Council
Dunneworthy,3377,Northern Grampians Shire Council
Dunnstown,3352,Moorabool Shire Council
Dunolly,3472,Central Goldfields Shire Council
Dunolly,3472,Loddon Shire Council
Dunrobin,3312,Glenelg Shire Council
Durdidwarrah,3342,Golden Plains Shire Council
Durham Lead,3352,Ballarat City Council
Durham Lead,3352,Golden Plains Shire Council
Durham Lead,3352,Moorabool Shire Council
Durham Ox,3576,Loddon Shire Council
Dutson,3851,Wellington Shire Council
Dutton Way,3305,Glenelg Shire Council
Duverney,3323,Corangamite Shire Council
Eagle Point,3878,East Gippsland Shire Council
Eaglehawk,3556,Greater Bendigo City Council
Eaglehawk North,3556,Greater Bendigo City Council
Eaglemont,3084,Banyule City Council
Earlston,3669,Strathbogie Shire Council
East Bairnsdale,3875,East Gippsland Shire Council
East Bendigo,3550,Greater Bendigo City Council
East Geelong,3219,Greater Geelong City Council
East Melbourne,3002,Melbourne City Council
East Sale,3852,Wellington Shire Council
East Wangaratta,3678,Wangaratta Rural City Council
East Warburton,3799,Yarra Ranges Shire Council
Eastern View,3231,Surf Coast Shire Council
Eastville,3463,Loddon Shire Council
Eastwood,3875,East Gippsland Shire Council
Ebden,3691,Wodonga City Council
Echuca,3564,Campaspe Shire Council
Echuca Village,3564,Campaspe Shire Council
Echuca West,3564,Campaspe Shire Council
Ecklin South,3265,Corangamite Shire Council
Ecklin South,3265,Moyne Shire Council
Eddington,3472,Central Goldfields Shire Council
Eddington,3472,Loddon Shire Council
Eddington,3472,Mount Alexander Shire Council
Eden Park,3757,Whittlesea City Council
Edenhope,3318,West Wimmera Shire Council
Edgecombe,3444,Macedon Ranges Shire Council
Edi,3678,Wangaratta Rural City Council
Edi Upper,3678,Wangaratta Rural City Council
Edithvale,3196,Kingston City Council
Eganstown,3461,Hepburn Shire Council
Eildon,3713,Murrindindi Shire Council
Elaine,3334,Moorabool Shire Council
Eldorado,3746,Wangaratta Rural City Council
Elevated Plains,3461,Hepburn Shire Council
Elingamite,3266,Corangamite Shire Council
Elingamite North,3266,Corangamite Shire Council
Elizabeth Island,3921,Unincorporated Land (victoria)
Ellaswood,3875,East Gippsland Shire Council
Ellerslie,3265,Moyne Shire Council
Elliminyt,3250,Colac Otway Shire Council
Ellinbank,3821,Baw Baw Shire Council
Elmhurst,3469,Ararat Rural City Council
Elmhurst,3469,Pyrenees Shire Council
Elmore,3558,Greater Bendigo City Council
Elphinstone,3448,Mount Alexander Shire Council
Elsternwick,3185,Glen Eira City Council
Eltham,3095,Banyule City Council
Eltham,3095,Nillumbik Shire Council
Eltham North,3095,Banyule City Council
Eltham North,3095,Nillumbik Shire Council
Elwood,3184,Port Phillip City Council
Emerald,3782,Cardinia Shire Council
Emerald,3782,Yarra Ranges Shire Council
Emu,3475,Loddon Shire Council
Emu,3475,Northern Grampians Shire Council
Emu Creek,3551,Greater Bendigo City Council
Endeavour Hills,3802,Casey City Council
Enfield,3352,Golden Plains Shire Council
Englefield,3407,Southern Grampians Shire Council
Ensay,3895,East Gippsland Shire Council
Ensay North,3895,East Gippsland Shire Council
Eppalock,3551,Greater Bendigo City Council
Epping,3076,Whittlesea City Council
Epsom,3551,Greater Bendigo City Council
Ercildoune,3352,Ballarat City Council
Ercildoune,3352,Pyrenees Shire Council
Erica,3825,Baw Baw Shire Council
Eskdale,3701,Towong Shire Council
Esmond,3730,Moira Shire Council
Essendon,3040,Moonee Valley City Council
Essendon Fields,3041,Moonee Valley City Council
Essendon North,3041,Moonee Valley City Council
Essendon West,3040,Moonee Valley City Council
Eumemmerring,3177,Casey City Council
Eurack,3251,Colac Otway Shire Council
Eureka,3350,Ballarat City Council
Euroa,3666,Strathbogie Shire Council
Eurobin,3739,Alpine Shire Council
Evansford,3371,Hepburn Shire Council
Evansford,3371,Pyrenees Shire Council
Eversley,3377,Ararat Rural City Council
Everton,3678,Wangaratta Rural City Council
Everton Upper,3678,Wangaratta Rural City Council
Exford,3338,Melton City Council
Eynesbury,3338,Melton City Council
Fairbank,3951,South Gippsland Shire Council
Fairfield,3078,Darebin City Council
Fairfield,3078,Yarra City Council
Fairhaven,3231,Surf Coast Shire Council
Fairley,3579,Gannawarra Shire Council
Fairy Dell,3561,Campaspe Shire Council
Falls Creek,3699,Unincorporated Land (victoria)
Faraday,3451,Mount Alexander Shire Council
Fawcett,3714,Murrindindi Shire Council
Fawkner,3060,Hume City Council
Fawkner,3060,Moreland City Council
Fentons Creek,3518,Loddon Shire Council
Ferguson,3237,Colac Otway Shire Council
Fern Hill,3458,Hepburn Shire Council
Fern Hill,3458,Macedon Ranges Shire Council
Fernbank,3864,East Gippsland Shire Council
Fernbank,3864,Wellington Shire Council
Ferndale,3821,Baw Baw Shire Council
Fernihurst,3518,Loddon Shire Council
Ferntree Gully,3156,Knox City Council
Ferny Creek,3786,Yarra Ranges Shire Council
Fieldstone,3024,Melton City Council
Fiery Flat,3518,Loddon Shire Council
Fingal,3939,Mornington Peninsula Shire Council
Fish Creek,3959,South Gippsland Shire Council
Fish Point,3585,Swan Hill Rural City Council
Fiskville,3342,Moorabool Shire Council
Fitzroy,3065,Yarra City Council
Fitzroy North,3068,Moreland City Council
Fitzroy North,3068,Yarra City Council
Flaggy Creek,3875,East Gippsland Shire Council
Flagstaff,3465,Central Goldfields Shire Council
Flamingo Beach,3851,Wellington Shire Council
Flemington,3031,Melbourne City Council
Flemington,3031,Moonee Valley City Council
Flinders,3929,Mornington Peninsula Shire Council
Flora Hill,3550,Greater Bendigo City Council
Flowerdale,3717,Murrindindi Shire Council
Flynn,3844,Latrobe City Council
Flynn,3844,Wellington Shire Council
Flynns Creek,3844,Latrobe City Council
Flynns Creek,3844,Wellington Shire Council
Footscray,3011,Maribyrnong City Council
Forbes,3764,Mitchell Shire Council
Forest Hill,3131,Whitehorse City Council
Forge Creek,3875,East Gippsland Shire Council
Forrest,3236,Colac Otway Shire Council
Foster,3960,South Gippsland Shire Council
Foster North,3960,South Gippsland Shire Council
Fosterville,3557,Greater Bendigo City Council
Foxhow,3323,Corangamite Shire Council
Framlingham,3265,Moyne Shire Council
Framlingham East,3265,Moyne Shire Council
Franklinford,3461,Hepburn Shire Council
Franklinford,3461,Mount Alexander Shire Council
Frankston,3199,Frankston City Council
Frankston North,3200,Frankston City Council
Frankston South,3199,Frankston City Council
Fraser Rise,3336,Melton City Council
Freeburgh,3741,Alpine Shire Council
French Island,3921,Unincorporated Land (victoria)
Frenchmans,3384,Pyrenees Shire Council
Freshwater Creek,3217,Surf Coast Shire Council
Fryerstown,3451,Mount Alexander Shire Council
Fulham,3851,Wellington Shire Council
Fumina,3825,Baw Baw Shire Council
Fumina South,3825,Baw Baw Shire Council
Fyans Creek,3381,Northern Grampians Shire Council
Fyansford,3218,Greater Geelong City Council
Gaffneys Creek,3723,Mansfield Shire Council
Gainsborough,3822,Baw Baw Shire Council
Gannawarra,3568,Gannawarra Shire Council
Gapsted,3737,Alpine Shire Council
Gardenvale,3185,Glen Eira City Council
Garfield,3814,Cardinia Shire Council
Garfield North,3814,Cardinia Shire Council
Garibaldi,3352,Golden Plains Shire Council
Garvoc,3265,Corangamite Shire Council
Garvoc,3265,Moyne Shire Council
Gateway Island,3691,Wodonga City Council
Gatum,3407,Southern Grampians Shire Council
Gazette,3289,Moyne Shire Council
Gazette,3289,Southern Grampians Shire Council
Geelong,3220,Greater Geelong City Council
Geelong West,3218,Greater Geelong City Council
Gelantipy,3885,East Gippsland Shire Council
Gellibrand,3239,Colac Otway Shire Council
Gellibrand Lower,3237,Corangamite Shire Council
Gelliondale,3971,Wellington Shire Council
Gembrook,3783,Cardinia Shire Council
Genoa,3891,East Gippsland Shire Council
Georges Creek,3700,Towong Shire Council
Gerahmin,3546,Swan Hill Rural City Council
Gerang Gerung,3418,Hindmarsh Shire Council
Gerangamete,3249,Colac Otway Shire Council
Germania,3387,Northern Grampians Shire Council
Germantown,3741,Alpine Shire Council
Gerrigerrup,3289,Moyne Shire Council
Gherang,3240,Surf Coast Shire Council
Gheringhap,3331,Golden Plains Shire Council
Ghin Ghin,3717,Murrindindi Shire Council
Giffard,3851,Wellington Shire Council
Giffard West,3851,Wellington Shire Council
Gil Gil,3480,Buloke Shire Council
Gilderoy,3797,Yarra Ranges Shire Council
Gillieston,3616,Greater Shepparton City Council
Gipsy Point,3891,East Gippsland Shire Council
Girgarre,3624,Campaspe Shire Council
Girgarre East,3616,Greater Shepparton City Council
Gisborne,3437,Macedon Ranges Shire Council
Gisborne South,3437,Macedon Ranges Shire Council
Gladfield,3575,Loddon Shire Council
Gladstone Park,3043,Hume City Council
Gladysdale,3797,Yarra Ranges Shire Council
Glen Alvie,3979,Bass Coast Shire Council
Glen Creek,3691,Alpine Shire Council
Glen Forbes,3990,Bass Coast Shire Council
Glen Huntly,3163,Glen Eira City Council
Glen Iris,3146,Boroondara City Council
Glen Iris,3146,Stonnington City Council
Glen Park,3352,Ballarat City Council
Glen Park,3352,Moorabool Shire Council
Glen Valley,3898,East Gippsland Shire Council
Glen Waverley,3150,Monash City Council
Glenaire,3238,Colac Otway Shire Council
Glenaladale,3864,East Gippsland Shire Council
Glenalbyn,3517,Loddon Shire Council
Glenaroua,3764,Mitchell Shire Council
Glenbrae,3352,Pyrenees Shire Council
Glenburn,3717,Murrindindi Shire Council
Glendaruel,3363,Ballarat City Council
Glendonald,3364,Ballarat City Council
Glenfalloch,3858,Wellington Shire Council
Glenfyne,3266,Corangamite Shire Council
Glengarry,3854,Latrobe City Council
Glengarry,3854,Wellington Shire Council
Glengarry North,3854,Latrobe City Council
Glengarry West,3854,Latrobe City Council
Glengower,3370,Central Goldfields Shire Council
Glengower,3370,Hepburn Shire Council
Glenhope,3444,Mitchell Shire Council
Glenhope East,3522,Mitchell Shire Council
Glenisla,3314,Southern Grampians Shire Council
Glenlee,3418,Hindmarsh Shire Council
Glenlofty,3469,Pyrenees Shire Council
Glenlogie,3469,Ararat Rural City Council
Glenlogie,3469,Pyrenees Shire Council
Glenloth,3527,Buloke Shire Council
Glenloth East,3527,Buloke Shire Council
Glenluce,3451,Mount Alexander Shire Council
Glenlyon,3461,Hepburn Shire Council
Glenmaggie,3858,Wellington Shire Council
Glenmore,3340,Moorabool Shire Council
Glenorchy,3385,Northern Grampians Shire Council
Glenormiston North,3265,Corangamite Shire Council
Glenormiston North,3265,Moyne Shire Council
Glenormiston South,3265,Corangamite Shire Council
Glenpatrick,3469,Pyrenees Shire Council
Glenrowan,3675,Benalla Rural City Council
Glenrowan,3675,Wangaratta Rural City Council
Glenrowan West,3675,Benalla Rural City Council
Glenroy,3046,Moreland City Council
Glenthompson,3293,Ararat Rural City Council
Glenthompson,3293,Southern Grampians Shire Council
Glomar Beach,3851,Wellington Shire Council
Gnarwarre,3221,Surf Coast Shire Council
Gnotuk,3260,Corangamite Shire Council
Gobarup,3559,Campaspe Shire Council
Gobur,3719,Murrindindi Shire Council
Golden Beach,3851,Wellington Shire Council
Golden Gully,3555,Greater Bendigo City Council
Golden Point,3350,Ballarat City Council
Golden Point,3451,Mount Alexander Shire Council
Golden Point,3465,Central Goldfields Shire Council
Golden Square,3555,Greater Bendigo City Council
Goldie,3435,Macedon Ranges Shire Council
Goldsborough,3472,Central Goldfields Shire Council
Goldsborough,3472,Loddon Shire Council
Gong Gong,3352,Ballarat City Council
Gonn Crossing,3579,Gannawarra Shire Council
Goomalibee,3673,Benalla Rural City Council
Goon Nure,3875,East Gippsland Shire Council
Goongerah,3888,East Gippsland Shire Council
Gooram,3666,Strathbogie Shire Council
Gooramadda,3685,Indigo Shire Council
Goorambat,3725,Benalla Rural City Council
Goornong,3557,Greater Bendigo City Council
Gooroc,3477,Northern Grampians Shire Council
Gorae,3305,Glenelg Shire Council
Gorae West,3305,Glenelg Shire Council
Gordon,3345,Moorabool Shire Council
Gormandale,3873,Wellington Shire Council
Goroke,3412,West Wimmera Shire Council
Goschen,3585,Swan Hill Rural City Council
Goughs Bay,3723,Mansfield Shire Council
Goulburn Weir,3608,Greater Shepparton City Council
Goulburn Weir,3608,Strathbogie Shire Council
Gowanbrae,3043,Moreland City Council
Gowanford,3544,Swan Hill Rural City Council
Gowangardie,3669,Greater Shepparton City Council
Gowar East,3477,Loddon Shire Council
Gowar East,3477,Northern Grampians Shire Council
Gower,3463,Mount Alexander Shire Council
Grahamvale,3631,Greater Shepparton City Council
Grand Ridge,3870,Latrobe City Council
Grand Ridge,3870,Wellington Shire Council
Grangefields,3335,Melton City Council
Granite Rock,3875,East Gippsland Shire Council
Grantville,3984,Bass Coast Shire Council
Granya,3701,Towong Shire Council
Grass Flat,3409,Horsham Rural City Council
Grass Flat,3409,West Wimmera Shire Council
Grassdale,3302,Glenelg Shire Council
Grassmere,3281,Moyne Shire Council
Graytown,3608,Strathbogie Shire Council
Gre Gre,3477,Northern Grampians Shire Council
Gre Gre North,3477,Northern Grampians Shire Council
Gre Gre South,3477,Northern Grampians Shire Council
Great Western,3374,Ararat Rural City Council
Great Western,3374,Northern Grampians Shire Council
Gredgwin,3537,Gannawarra Shire Council
Gredgwin,3537,Loddon Shire Council
Green Gully,3462,Mount Alexander Shire Council
Greendale,3341,Moorabool Shire Council
Greenhill,3444,Macedon Ranges Shire Council
Greenhill,3444,Mount Alexander Shire Council
Greens Creek,3387,Northern Grampians Shire Council
Greensborough,3088,Banyule City Council
Greensborough,3088,Nillumbik Shire Council
Greenvale,3059,Hume City Council
Greenwald,3304,Glenelg Shire Council
Grenville,3352,Golden Plains Shire Council
Grenville,3352,Moorabool Shire Council
Greta,3675,Wangaratta Rural City Council
Greta South,3675,Wangaratta Rural City Council
Greta West,3675,Wangaratta Rural City Council
Grey River,3234,Colac Otway Shire Council
Gringegalgona,3315,Southern Grampians Shire Council
Gritjurk,3315,Southern Grampians Shire Council
Grovedale,3216,Greater Geelong City Council
Gruyere,3770,Yarra Ranges Shire Council
Guildford,3451,Hepburn Shire Council
Guildford,3451,Mount Alexander Shire Council
Gunbower,3566,Campaspe Shire Council
Gundowring,3691,Alpine Shire Council
Gundowring,3691,Indigo Shire Council
Gunyah,3960,South Gippsland Shire Council
Guys Forest,3709,Towong Shire Council
Guys Hill,3807,Cardinia Shire Council
Gymbowen,3401,West Wimmera Shire Council
Haddon,3351,Golden Plains Shire Council
Hadfield,3046,Moreland City Council
Hallam,3803,Casey City Council
Hallora,3818,Baw Baw Shire Council
Halls Gap,3381,Northern Grampians Shire Council
Hallston,3953,South Gippsland Shire Council
Hamilton,3300,Southern Grampians Shire Council
Hamlyn Heights,3215,Greater Geelong City Council
Hampton,3188,Bayside City Council
Hampton East,3188,Bayside City Council
Hampton Park,3976,Casey City Council
Hansonville,3675,Wangaratta Rural City Council
Happy Valley,3360,Golden Plains Shire Council
Happy Valley,3549,Swan Hill Rural City Council
Harcourt,3453,Mount Alexander Shire Council
Harcourt North,3453,Greater Bendigo City Council
Harcourt North,3453,Mount Alexander Shire Council
Harkaway,3806,Casey City Council
Harkness,3337,Melton City Council
Harmers Haven,3995,Bass Coast Shire Council
Harrietville,3741,Alpine Shire Council
Harrow,3317,Southern Grampians Shire Council
Harrow,3317,West Wimmera Shire Council
Harston,3616,Greater Shepparton City Council
Hastings,3915,Mornington Peninsula Shire Council
Hattah,3501,Mildura Rural City Council
Havelock,3465,Central Goldfields Shire Council
Haven,3401,Horsham Rural City Council
Havilah,3737,Alpine Shire Council
Hawkesdale,3287,Moyne Shire Council
Hawkhurst,3862,Wellington Shire Council
Hawthorn,3122,Boroondara City Council
Hawthorn East,3123,Boroondara City Council
Hazel Park,3966,South Gippsland Shire Council
Hazelwood,3840,Latrobe City Council
Hazelwood North,3840,Latrobe City Council
Hazelwood South,3840,Latrobe City Council
Healesville,3777,Yarra Ranges Shire Council
Heath Hill,3981,Baw Baw Shire Council
Heath Hill,3981,Cardinia Shire Council
Heathcote,3523,Greater Bendigo City Council
Heathcote Junction,3758,Mitchell Shire Council
Heathcote South,3523,Mitchell Shire Council
Heatherton,3202,Kingston City Council
Heathmere,3305,Glenelg Shire Council
Heathmont,3135,Maroondah City Council
Hedley,3967,South Gippsland Shire Council
Hedley,3967,Wellington Shire Council
Heidelberg,3084,Banyule City Council
Heidelberg Heights,3081,Banyule City Council
Heidelberg West,3081,Banyule City Council
Hensley Park,3301,Southern Grampians Shire Council
Henty,3312,Glenelg Shire Council
Hepburn,3461,Hepburn Shire Council
Hepburn Springs,3461,Hepburn Shire Council
Herne Hill,3218,Greater Geelong City Council
Hernes Oak,3825,Baw Baw Shire Council
Hernes Oak,3825,Latrobe City Council
Hesket,3442,Macedon Ranges Shire Council
Hesse,3321,Golden Plains Shire Council
Hexham,3273,Moyne Shire Council
Heyfield,3858,Wellington Shire Council
Heytesbury Lower,3268,Corangamite Shire Council
Heywood,3304,Glenelg Shire Council
Hiamdale,3847,Wellington Shire Council
Hiawatha,3971,Wellington Shire Council
High Camp,3764,Mitchell Shire Council
Highett,3190,Bayside City Council
Highett,3190,Kingston City Council
Highlands,3660,Mitchell Shire Council
Highlands,3660,Murrindindi Shire Council
Highton,3216,Greater Geelong City Council
Hilgay,3315,Southern Grampians Shire Council
Hill End,3825,Baw Baw Shire Council
Hillcrest,3351,Pyrenees Shire Council
Hilldene,3660,Mitchell Shire Council
Hillside,3037,Brimbank City Council
Hillside,3037,Melton City Council
Hillside,3875,East Gippsland Shire Council
Hinnomunjie,3898,East Gippsland Shire Council
Hmas Cerberus,3920,Mornington Peninsula Shire Council
Hoddles Creek,3139,Yarra Ranges Shire Council
Hollands Landing,3862,Wellington Shire Council
Homebush,3465,Pyrenees Shire Council
Homerton,3304,Glenelg Shire Council
Homewood,3717,Murrindindi Shire Council
Hopetoun,3396,Yarriambiack Shire Council
Hopetoun Park,3340,Moorabool Shire Council
Hoppers Crossing,3029,Wyndham City Council
Hordern Vale,3238,Colac Otway Shire Council
Horfield,3567,Gannawarra Shire Council
Horfield,3567,Loddon Shire Council
Horsham,3400,Horsham Rural City Council
Hotham Heights,3741,Alpine Shire Council
Hotham Heights,3741,Unincorporated Land (victoria)
Hotspur,3303,Glenelg Shire Council
Howes Creek,3723,Mansfield Shire Council
Howqua,3723,Mansfield Shire Council
Howqua Hills,3723,Mansfield Shire Council
Howqua Inlet,3723,Mansfield Shire Council
Hughesdale,3166,Monash City Council
Humevale,3757,Whittlesea City Council
Hunter,3558,Greater Bendigo City Council
Hunterston,3971,Wellington Shire Council
Huntingdale,3166,Monash City Council
Huntly,3551,Greater Bendigo City Council
Huntly North,3551,Greater Bendigo City Council
Huon,3695,Indigo Shire Council
Huon,3695,Towong Shire Council
Huon Creek,3691,Wodonga City Council
Hurstbridge,3099,Nillumbik Shire Council
Icy Creek,3833,Baw Baw Shire Council
Iguana Creek,3875,East Gippsland Shire Council
Illabarook,3351,Golden Plains Shire Council
Illawarra,3381,Northern Grampians Shire Council
Illowa,3282,Moyne Shire Council
Illowa,3282,Warrnambool City Council
Indented Head,3223,Greater Geelong City Council
Indigo Valley,3688,Indigo Shire Council
Inglewood,3517,Loddon Shire Council
Ingliston,3342,Moorabool Shire Council
Inkerman,3472,Central Goldfields Shire Council
Inkerman,3472,Loddon Shire Council
Invergordon,3636,Moira Shire Council
Inverleigh,3321,Golden Plains Shire Council
Inverleigh,3321,Surf Coast Shire Council
Inverloch,3996,Bass Coast Shire Council
Inverloch,3996,South Gippsland Shire Council
Invermay,3352,Ballarat City Council
Invermay Park,3350,Ballarat City Council
Iona,3815,Cardinia Shire Council
Iraak,3494,Mildura Rural City Council
Irishtown,3451,Mount Alexander Shire Council
Ironbark,3550,Greater Bendigo City Council
Irrewarra,3249,Colac Otway Shire Council
Irrewillipe,3249,Colac Otway Shire Council
Irrewillipe East,3249,Colac Otway Shire Council
Irymple,3498,Mildura Rural City Council
Ivanhoe,3079,Banyule City Council
Ivanhoe East,3079,Banyule City Council
Jacana,3047,Hume City Council
Jack River,3971,Wellington Shire Council
